
;

;

;

;

;

;

;

;

;

;

;

;

;

;

;

;

;edge_gpu_1;edge_gpu_2;edge_gpu_4;edge_gpu_8;edge_gpu_16;edge_gpu_24;edge_gpu_32
ssoln;0.128100;0.235800;0.454300;0.893600;1.764200;2.638200;3.517600
iter;2.465700;3.871600;8.984800;24.838200;93.685800;217.861700;367.642800
rms;0.144100;0.208000;0.322400;0.591600;1.229400;1.542300;2.058700
total;2.738248;4.315866;9.761930;26.323658;96.679703;222.042555;373.219524

;edge_gpu_2l_1;edge_gpu_2l_2;edge_gpu_2l_4;edge_gpu_2l_8;edge_gpu_2l_16;edge_gpu_2l_24;edge_gpu_2l_32
ssoln;0.125600;0.234900;0.455600;0.895700;1.765500;2.639500;3.519000
iter;2.627300;3.605200;6.181200;15.118900;36.270500;69.445700;113.103100
rms;0.150000;0.258800;0.322100;0.565000;1.094700;1.572400;2.061500
total;2.903260;4.099299;6.959290;16.580080;39.131140;73.658043;118.684083

;edge_gpu_2l_r_1;edge_gpu_2l_r_2;edge_gpu_2l_r_4;edge_gpu_2l_r_8;edge_gpu_2l_r_16;edge_gpu_2l_r_24;edge_gpu_2l_r_32
ssoln;0.124400;0.236300;0.456700;0.898100;1.769500;2.640300;3.519000
iter;3.758800;4.477200;6.605100;14.253400;34.554500;63.770900;105.207200
rms;0.147900;0.217000;0.357600;0.587700;1.069000;1.710100;1.986600
total;4.031521;4.930958;7.419839;15.739442;37.393413;68.121762;110.713257

;edge_gpu_2l_r_soa_1;edge_gpu_2l_r_soa_2;edge_gpu_2l_r_soa_4;edge_gpu_2l_r_soa_8;edge_gpu_2l_r_soa_16;edge_gpu_2l_r_soa_24;edge_gpu_2l_r_soa_32
ssoln;0.125600;0.236200;0.454300;0.895900;1.764900;2.640200;3.519400
iter;3.697200;5.112000;8.250000;15.517400;39.661400;64.313700;86.177000
rms;0.141200;0.206900;0.341700;0.565600;1.129200;1.707700;2.165200
total;3.964400;5.555488;9.046412;16.979355;42.555932;68.662001;91.862100

;edge_gpu_2l_soa_1;edge_gpu_2l_soa_2;edge_gpu_2l_soa_4;edge_gpu_2l_soa_8;edge_gpu_2l_soa_16;edge_gpu_2l_soa_24;edge_gpu_2l_soa_32
ssoln;0.126100;0.236400;0.455200;0.896000;1.766500;2.643300;3.521300
iter;2.603500;3.756000;6.115100;11.547600;24.558400;36.196000;47.727100
rms;0.152000;0.208000;0.323100;0.574500;1.115900;1.598700;2.068300
total;2.881913;4.200801;6.893761;13.018426;27.441161;40.438323;53.316987

;edge_gpu_ca_1;edge_gpu_ca_2;edge_gpu_ca_4;edge_gpu_ca_8;edge_gpu_ca_16;edge_gpu_ca_24;edge_gpu_ca_32
ssoln;0.126500;0.235400;0.455000;0.895600;1.763600;2.639300;3.571000
iter;3.477000;4.172400;6.535900;18.298200;75.482200;169.405200;0.014100
rms;0.143200;0.247800;0.324100;0.622600;1.030600;1.589700;1.971100
total;3.747065;4.655961;7.315488;19.816847;78.276810;173.634661;5.556550

;edge_gpu_ca_r_1;edge_gpu_ca_r_2;edge_gpu_ca_r_4;edge_gpu_ca_r_8;edge_gpu_ca_r_16;edge_gpu_ca_r_24;edge_gpu_ca_r_32
ssoln;0.125700;0.236600;0.454400;0.894400;1.765700;2.639000;3.567900
iter;3.773800;4.387400;6.733800;19.627100;90.894100;200.270400;0.014700
rms;0.167800;0.210100;0.324300;0.560600;1.035500;1.593900;2.049700
total;4.067754;4.834474;7.512813;21.082435;93.695758;204.503659;5.632665

;edge_gpu_ca_r_soa_1;edge_gpu_ca_r_soa_2;edge_gpu_ca_r_soa_4;edge_gpu_ca_r_soa_8;edge_gpu_ca_r_soa_16;edge_gpu_ca_r_soa_24;edge_gpu_ca_r_soa_32
ssoln;0.125900;0.235600;0.456100;0.895000;1.764800;2.639900;3.580900
iter;3.649400;4.305100;6.582000;17.281800;61.365900;130.190600;0.015800
rms;0.138100;0.228600;0.314300;0.569200;1.132200;1.623900;2.087900
total;3.913847;4.769756;7.352807;18.746307;64.263318;134.454913;5.684921

;edge_gpu_ca_soa_1;edge_gpu_ca_soa_2;edge_gpu_ca_soa_4;edge_gpu_ca_soa_8;edge_gpu_ca_soa_16;edge_gpu_ca_soa_24;edge_gpu_ca_soa_32
ssoln;0.126700;0.235700;0.458800;0.895100;1.764300;2.639200;3.575500
iter;3.325200;4.133900;6.031000;13.971600;47.137600;90.071800;0.014900
rms;0.164500;0.224300;0.353100;0.627300;1.218400;1.659000;2.422300
total;3.616965;4.594254;6.843256;15.494521;50.120715;94.370378;6.013012

;edge_gpu_cw_1;edge_gpu_cw_2;edge_gpu_cw_4;edge_gpu_cw_8;edge_gpu_cw_16;edge_gpu_cw_24;edge_gpu_cw_32
ssoln;0.126400;0.236200;0.456600;0.895200;1.764400;2.638600;3.570500
iter;3.123800;3.766700;6.091200;17.986000;69.875300;159.278600;0.012900
rms;0.147900;0.209400;0.323300;0.561000;1.022400;1.514300;2.197300
total;3.398535;4.212705;6.871499;19.442533;72.662524;163.432015;5.780945

;edge_gpu_cw_r_1;edge_gpu_cw_r_2;edge_gpu_cw_r_4;edge_gpu_cw_r_8;edge_gpu_cw_r_16;edge_gpu_cw_r_24;edge_gpu_cw_r_32
ssoln;0.125600;0.235400;0.455100;0.895300;1.764500;2.637300;3.568800
